Line,Shift,Timestamps,AY,Units Produced,Units Planned,Units Lost,Downtime,Planned Time,Run- time,Repairs,CAL,Bussiness Date,Grupo
LN02,1,2021-08-01 09:00:00,0.00%,0,0,0,32.37,0,26.47,0,0,1-agosto-21,B1
LN02,1,2021-08-01 10:00:00,0.00%,0,0,0,15.83,0,4.17,0,0,1-agosto-21,B1
LN03,1,2021-08-01 11:00:00,0.00%,0,0,0,57.82,0,0,0,0,1-agosto-21,C1
LN03,1,2021-08-01 12:00:00,0.00%,0,0,0,8.02,0,0,0,0,1-agosto-21,C1
LN02,1,2021-08-02 06:00:00,86.84 %,99,114,15,13.23,0,41.48,0,0,2-agosto-21,B1
LN02,1,2021-08-02 07:00:00,88.8 %,111,125,14,12,0,48,0,0,2-agosto-21,B1
LN02,1,2021-08-02 08:00:00,88.46 %,92,104,12,14.58,10.12,35.3,0,0,2-agosto-21,B1
LN02,1,2021-08-02 09:00:00,96.8 %,121,125,4,10.18,0,49.82,0,0,2-agosto-21,B1
LN02,1,2021-08-02 10:00:00,3.2 %,4,125,121,58.53,0,1.47,0,0,2-agosto-21,B1
LN02,1,2021-08-02 11:00:00,88.0 %,110,125,15,13.63,0,46.37,0,0,2-agosto-21,B1
LN02,1,2021-08-02 12:00:00,100.0 %,125,125,0,6.78,0,53.22,0,0,2-agosto-21,B1
LN02,1,2021-08-02 13:00:00,100.00%,133,125,0,2.37,0,57.63,0,0,2-agosto-21,B1
LN02,1,2021-08-02 14:00:00,87.85 %,94,107,13,15.32,9.03,35.65,0,0,2-agosto-21,B1
LN02,1,2021-08-02 15:00:00,92.74 %,115,124,9,6.12,0.17,53.72,0,0,2-agosto-21,B1
LN02,1,2021-08-02 16:00:00,100.00%,133,126,0,2.55,0,57.45,0,0,2-agosto-21,B1
LN02,1,2021-08-02 17:00:00,100.00%,129,125,0,4.45,0,55.55,0,0,2-agosto-21,B1
LN02,2,2021-08-02 18:00:00,85.09 %,97,114,17,13.87,0,40.7,0,0,2-agosto-21,B2
LN02,2,2021-08-02 19:00:00,88.0 %,110,125,15,14.9,0,45.1,0,0,2-agosto-21,B2
LN02,2,2021-08-02 20:00:00,82.69 %,86,104,18,11.48,10.1,38.42,1,0,2-agosto-21,B2
LN02,2,2021-08-02 21:00:00,99.2 %,124,125,1,5.05,0,54.95,4,0,2-agosto-21,B2
LN02,2,2021-08-02 22:00:00,15.2 %,19,125,106,51.9,0,8.1,0,0,2-agosto-21,B2
LN02,2,2021-08-02 23:00:00,43.93 %,47,107,60,30.93,8.75,20.32,1,0,2-agosto-21,B2
LN02,2,2021-08-03 00:00:00,100.00%,130,125,0,4.5,0,55.5,2,0,2-agosto-21,B2
LN02,2,2021-08-03 01:00:00,100.00%,136,125,0,0.2,0,59.8,2,0,2-agosto-21,B2
LN02,2,2021-08-03 02:00:00,46.67 %,49,105,56,26.28,9.78,23.93,0,0,2-agosto-21,B2
LN02,2,2021-08-03 03:00:00,0.0 %,0,124,124,60,0,0,1,0,2-agosto-21,B2
LN02,2,2021-08-03 04:00:00,21.6 %,27,125,98,48.48,0,11.52,0,0,2-agosto-21,B2
LN02,2,2021-08-03 05:00:00,92.8 %,116,125,9,2.32,0,57.68,0,0,2-agosto-21,B2
LN03,1,2021-08-02 06:00:00,39.24 %,31,79,48,30.8,0,23.82,0,0,2-agosto-21,C1
LN03,1,2021-08-02 07:00:00,60.92 %,53,87,34,7.6,0,52.4,0,0,2-agosto-21,C1
LN03,1,2021-08-02 08:00:00,57.53 %,42,73,31,0.48,10.02,49.5,0,0,2-agosto-21,C1
LN03,1,2021-08-02 09:00:00,70.11 %,61,87,26,1.73,0,58.27,0,0,2-agosto-21,C1
LN03,1,2021-08-02 10:00:00,59.49 %,47,79,32,0.17,5.02,54.82,0,0,2-agosto-21,C1
LN03,1,2021-08-02 11:00:00,67.57 %,25,37,12,0.13,35,24.87,0,0,2-agosto-21,C1
LN03,1,2021-08-02 12:00:00,57.47 %,50,87,37,11.9,0,48.1,0,0,2-agosto-21,C1
LN03,1,2021-08-02 13:00:00,70.11 %,61,87,26,0.43,0,59.57,0,0,2-agosto-21,C1
LN03,1,2021-08-02 14:00:00,74.71 %,65,87,22,0,0,60,0,0,2-agosto-21,C1
LN03,1,2021-08-02 15:00:00,77.78 %,56,72,16,0.33,10.02,49.65,0,0,2-agosto-21,C1
LN03,1,2021-08-02 16:00:00,72.41 %,63,87,24,0.07,0,59.93,0,0,2-agosto-21,C1
LN03,1,2021-08-02 17:00:00,39.08 %,34,87,53,15.1,0,44.9,0,0,2-agosto-21,C1
LN03,2,2021-08-02 18:00:00,84.06 %,58,69,11,0.95,0,53.43,0,0,2-agosto-21,C2
