PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Churn
-1.532639034,0.119511595,-1.562116274,0.136205753,0.414997003,-1.399577849,0.191106305,-0.130913259,-0.527626811,0.04565657,-0.026621842,No
-1.659018701,0.130539057,0.638301016,-1.375657582,0.723704701,-1.271899456,0.575595658,0.474031299,-0.826669105,1.302704438,-0.038359727,Yes
-0.900521978,1.191402442,-0.193081261,-0.495760066,1.308798439,-1.158698763,-0.43407008,-0.004834975,0.466448579,-0.297649169,0.060824888,No
-0.942313594,-1.138090289,1.264618665,0.039044391,0.394402551,0.898011101,-1.516687868,-0.434394364,-0.730166603,-0.734906017,0.130009061,No
-1.929748202,-1.434577798,-0.984405046,1.102943017,0.459295929,0.611698386,0.333212439,-1.448501017,-0.347708168,0.279139486,-0.056541007,Yes
-1.480058417,-1.619010051,-0.374308903,0.487753969,0.836363985,0.883380414,0.317934105,-1.512438058,1.422309559,0.676010979,-0.018448251,No
-1.006913357,-0.744550312,-1.132026548,-0.598050179,1.000018168,-1.766607282,0.334843663,-0.076689589,-0.386785462,-0.442559465,0.109118152,Yes
-1.699211675,0.73907487,1.450215347,1.953475479,-0.039412518,-0.201454942,-0.391131522,0.15748168,-0.812802699,0.321727119,0.065412953,Yes
-1.414831717,0.522898876,-0.907362175,1.70816471,2.440967307,1.901882176,0.901580611,-2.72938209,-1.1446642,2.43501523,0.082384406,No
-1.834287327,-1.426397721,0.341910778,1.648072361,-0.357032716,0.390747966,1.222845634,-0.78640261,-0.332729744,-0.616559924,-0.045897709,No
-0.528700276,2.953901331,-0.070081838,-1.101229152,2.060282507,-0.65459154,0.048938599,-0.498647734,0.852781214,1.033824794,0.109163017,No
-1.415011267,-0.500373717,0.620359741,2.051429148,1.231332204,0.112331067,0.478926913,-0.559081365,-0.017682606,1.158234668,-0.046790553,No
-1.315960907,0.292521947,-2.006943316,0.640239979,-1.06050473,-0.097778766,0.571158832,0.662737444,-0.664957367,-1.529689762,-0.046244768,No
-0.925791781,2.07538561,0.195455953,0.08667029,-2.050544228,1.558784895,1.462778161,-0.264261743,0.18072595,0.62871428,-0.067154493,No
-1.239848803,-0.382164773,-0.139360059,-0.995298429,-0.955546825,1.798395353,-1.347298327,0.52356647,-0.026590347,0.52284245,0.063977512,Yes
-1.048909602,0.861104536,0.323598765,-0.603031957,-1.175026937,1.135834649,0.651948629,0.074280519,-0.452930605,-0.238796689,0.017873407,Yes
-0.948564437,-2.14124841,1.151227026,0.548315649,0.949152342,0.37207015,0.510590778,1.89515543,-0.277329901,-0.12611457,0.080047832,Yes
-1.672115571,-1.5097752,0.517267089,-0.252963124,-0.978818414,1.120493485,0.126087038,-1.178429361,0.608498122,0.559381188,0.022253238,Yes
-0.986127543,0.172125827,-0.062727604,0.312683774,-0.287392752,0.034520798,-0.233690486,0.145636757,0.568010353,-0.655253743,-0.018997587,No
-1.058144879,0.941105753,0.752134203,-0.52776227,-0.287523702,-0.300188262,-1.462501165,0.362159499,0.155506942,0.106158687,0.097423757,Yes
-0.633732002,1.741916978,-0.43077109,-1.270007809,3.067966995,-0.11710722,1.11076144,-1.610711309,-1.051333733,1.20363271,-0.015698,No
-1.859419126,0.726816478,1.445227833,1.653157786,-0.712599361,0.704623499,-0.068419768,-0.8171183,-0.460348518,0.652524247,-0.034684922,No
-1.659401802,0.585278627,0.223907091,0.652679882,0.708200995,0.158156699,-0.275400799,-1.719578579,-0.420599299,0.057951687,-0.08187327,No
-1.496151017,1.036657791,-1.41578943,0.550593551,-1.093827825,-0.107748371,0.654862755,0.67344806,-0.009479601,-0.960835907,-0.057932461,No
-1.610481618,-0.858586387,0.943070404,-0.083282764,0.308053126,0.114833647,0.198838117,-0.689556794,0.079066682,-1.45758787,-0.022264522,Yes
-1.761737664,-0.953726107,-0.047208495,1.978629955,0.762808216,0.007172377,-1.018031681,0.518864116,0.18982918,-1.089557753,0.085887597,Yes
-1.212784476,-0.643141766,1.165273494,-1.611186403,1.306999451,-1.225490991,0.468226506,-0.622934293,-1.342857179,-0.051049097,-0.01271347,Yes
-1.892390002,-0.548592101,-0.015647608,-0.24845524,0.148107502,-0.319815376,-0.168571739,0.379965256,-1.345668985,-1.896747053,-0.002454973,Yes
-1.551687042,-0.19542381,1.696574828,-1.568385775,-0.320885887,0.033694077,-1.197071458,-0.369313754,0.240505888,0.625202879,0.119308195,Yes
-1.285089131,-1.884619721,2.401747494,0.824205859,0.675466644,0.335788927,2.451572647,0.666780756,1.109633974,0.564247355,0.150570462,Yes
-1.07848293,1.892414334,1.714331106,0.075920332,-0.497965516,-0.500667199,1.910846453,-0.374576958,2.180430944,0.226553368,-0.029992632,No
-1.825991708,-0.257464876,-0.456950505,1.126836696,-1.383232701,-0.259969916,-1.252899785,-0.650048904,0.072452865,1.296780373,-0.079611561,No
-1.473187585,0.7998179,-0.422680851,-0.75041029,-0.558988606,-0.954092726,1.703378465,0.185593434,1.888932024,-1.177766267,-0.043330737,Yes
-0.522191979,0.619536895,-0.936494982,-0.966735357,1.119530411,-0.398393441,-0.024206105,-0.379896982,1.421746158,-0.813802892,0.124518928,Yes
-1.513916895,-0.625371594,0.593037609,-0.042242821,-1.050348363,-1.572085342,1.474470998,-1.197258795,1.681168585,0.837440174,-0.021279693,Yes
-1.477510004,-0.14903021,0.18548539,-0.511658264,1.708097394,-0.980169458,-0.421650325,0.380499034,-0.819500165,-0.36092046,0.091544618,Yes
-1.590104175,-0.567843382,1.92919228,-2.010253562,1.215304417,-0.356193378,0.07424501,-0.764897401,-1.025089566,0.786562533,-0.061991031,Yes
-1.419455605,0.336393773,-0.212707115,-0.293148035,-0.805121881,0.468645547,-1.833630818,0.582863775,0.000931251,0.607078251,0.080746228,No
-1.394077875,-1.561750841,0.927757626,-0.956433906,0.749043376,0.034170007,-0.179201272,0.76468352,-0.403065222,-1.291069668,-0.066001355,No
-1.093479027,0.167238869,-1.823179495,0.304472029,0.298820584,-0.041575356,0.02734984,-0.334244386,-0.096059747,-0.137020046,-0.051750194,No
-1.351198448,0.87256035,1.035196518,-0.837434621,-0.624734123,0.069528255,-0.719910237,0.090985729,-0.212161151,0.245961437,-0.040641664,No
-1.736729776,0.271620783,0.219718381,1.11814012,-0.926670013,1.230953418,-0.592143575,-1.493067795,0.053486374,-0.349664761,0.093739712,No
-1.40459298,0.390013174,-0.00662586,-2.396107565,1.97145256,-0.848878575,0.668362042,-0.822474712,0.495556549,1.392305627,-0.036104592,Yes
-0.867932427,1.093188106,1.190428887,0.099219446,-0.51163547,-1.021928596,0.226426583,0.028873741,0.337602682,0.399534266,-0.080691805,No
-1.259189891,-0.526049989,0.842613193,-1.307274894,0.49105437,-1.3324975,-0.321210344,3.311536892,-0.154454103,0.848836957,-0.04026256,Yes
-1.076397428,0.299524457,-0.878650134,-2.098089217,-1.055555385,-0.613882664,0.105655628,1.539953706,0.802035449,0.198919626,0.013214502,Yes
-0.628378949,1.209385282,0.050963578,-1.285748821,-1.482000542,2.181296403,0.927356733,1.308145273,-1.23299647,-0.078590663,-0.046212011,Yes
-1.349138264,0.413397204,0.287129924,-0.682050388,-0.759169466,-0.358022998,-0.118182328,0.049137079,0.458491749,0.08488428,-0.078811065,Yes
-1.593425358,-0.541194058,-2.302959566,1.146470593,2.185557785,0.613107206,-0.554728946,-1.042648034,0.259520223,0.287784381,-0.026536882,No
-1.480679357,0.602647921,-0.986911718,0.69038926,0.975106478,0.839885968,0.67054391,-0.86841951,-1.340637793,-2.011013425,-0.074578404,No
-1.60040839,-1.488244998,0.144229197,-0.109923378,-0.571219192,0.101507291,-1.048740658,-1.030039141,1.290692276,0.51204227,0.063232695,Yes
-1.415464313,-0.229917148,0.718171432,1.137535916,0.348472128,0.470638051,1.125147103,1.051809902,1.753984351,-0.068601058,-0.003029968,Yes
-1.66007422,0.926520466,-1.534758569,1.024763134,-1.127334405,-1.354404921,-0.293480198,0.609629812,0.303921066,-0.059347496,-0.045532931,No
-1.815341323,0.861187782,-0.703355941,-1.063803437,-0.694504507,-0.954584041,-0.960581784,1.664089169,-0.783497892,-0.242107118,-0.070586804,Yes
-1.30432489,-0.825203588,-0.425946894,-0.037997703,-0.763097964,-0.367859622,-1.447451775,-0.295239987,0.097076948,0.30449386,-0.046934364,Yes
-1.065885275,0.377852258,-1.13742661,-0.044637842,0.551150632,0.698310737,-0.201328116,-0.136969745,-0.833105666,-0.360704555,0.106930547,No
-1.387291233,0.145543418,-1.077746794,2.109904968,1.454940597,1.142397843,1.19664336,1.760730105,-0.611253606,-0.337184185,0.089155496,Yes
-1.567746351,-0.203842601,0.999579671,1.296181857,2.529206056,-0.001908635,-0.23651929,2.378025122,-0.582633244,0.878649915,-0.024154133,No
-0.994300632,-1.987185012,1.0616705,0.19431016,-0.104817357,-0.029086581,0.205613908,0.035807556,0.486324072,0.797751059,-0.025738809,Yes
-1.656739815,0.192052385,-0.925046484,0.414271938,-0.704817862,-0.503546293,-1.467564488,0.381432085,-0.317286188,-0.246355395,-0.082817296,No
-1.615658138,0.668119625,0.122843727,-0.027570286,-1.210182981,0.164108183,-0.457865653,0.290825068,-0.645999672,0.68205815,0.088044453,No
-1.696352319,-0.090992617,-0.47251237,-1.258789281,-1.727589133,1.740023508,-0.645378555,0.464924092,0.084648575,1.201522007,-0.057448342,No
-1.384370114,-0.615725503,-0.403415656,-0.37437079,-1.628429129,2.575802241,-0.319061223,-0.304228256,-0.915835516,0.321936793,0.096516899,Yes
-1.454333657,0.447718859,-0.917965582,2.354785744,-0.884165932,0.178746606,0.556803078,-0.665922422,-0.861052861,-1.313857858,-0.02212569,No
-1.474680232,0.349439906,0.752455829,-0.06624002,0.004076398,-0.311599256,-0.7320002,0.153618961,-1.388162709,-1.132887848,-0.032962292,No
-1.308894298,-0.317590213,0.129933844,0.038167751,-0.818307629,-0.130328332,0.471932742,-0.590592965,0.001503361,-0.336675793,0.11914804,No
-1.483252194,-0.668650347,-0.025407329,0.529092579,1.312435988,-1.63441623,2.01527493,1.067305127,1.471330263,1.395572348,-0.058542967,Yes
-1.336814913,-1.89895199,1.181537066,0.600390025,-0.229729182,-0.44254944,1.125268523,-1.198619407,-0.352451219,-0.299812437,-0.034418511,Yes
-1.163187841,0.322307426,-0.079490333,1.099649172,0.196485184,-0.188211623,0.818921139,-0.880602445,-1.782539849,0.648607038,0.119843424,No
-1.602324567,-1.760782954,0.741842701,0.094194325,0.955789226,0.359806035,0.532530323,-1.376364381,-0.324235841,0.885936479,0.11963164,Yes
-0.490108774,0.461424355,0.34138573,0.793455118,-0.496505737,-0.807504836,1.414026899,0.623117108,1.069751634,0.225224924,-0.002698541,Yes
-1.498239677,-1.714835965,0.184784546,0.976805309,-0.788260967,-0.207338121,3.259902379,0.527779242,-0.540280046,0.07921599,0.103514331,Yes
-1.571432387,1.52670155,-0.949908009,1.2979539,-0.899098646,-0.724550261,-0.088336019,0.544194525,0.635892569,-0.195120914,-0.091063654,No
-1.155608778,1.003327942,-0.361382306,-1.007792174,0.158469091,-2.224834843,0.57084124,0.129900468,0.826725538,1.727055065,-0.026172978,Yes
-1.764300197,-1.882857536,1.769718144,0.518773117,0.916120328,-1.173415453,0.984092901,0.56066698,-0.27644519,-0.408573498,-0.043539247,Yes
-1.264900614,-0.820389207,0.628699849,-0.931618278,-0.428252785,0.023218183,2.692789491,1.309242735,-0.186858162,-0.346560512,0.12336134,Yes
-1.717838882,0.843717507,0.570493469,-0.012960879,-0.425334894,-1.594029647,0.158265422,0.102852455,0.942644694,0.156655215,-0.011501535,Yes
-0.686802125,0.462770841,-1.764347801,-0.052009278,-0.311145797,1.153811493,-0.248421293,-0.217351169,-0.178735147,0.773386754,0.100511625,No
-0.491789899,-0.80054236,2.233459802,-1.215992602,-0.747469351,-0.626266588,0.226383247,-0.911454033,-1.130200541,0.900412268,-0.063897361,Yes
-1.489623682,0.456980237,1.683755245,0.088969053,-0.32136668,1.169077961,0.049362342,0.466173881,-2.861370472,-0.540846583,-0.03532695,No
-1.160393164,-0.610890668,0.638205449,-1.129842431,0.950033476,0.950026292,-0.495802977,0.111031643,-0.711510148,1.067029871,0.102663559,Yes
-1.475940989,0.109950229,-0.303226836,-2.106209063,-0.303007794,-0.031493051,-1.505581791,1.578708001,-0.860203618,-0.690504138,-0.080048631,No
-0.846056344,-0.286744308,-0.35918267,-0.419315403,-1.283938613,1.734542435,0.615340768,-1.129660529,1.744675854,-0.206873697,-0.111112483,No
-1.057905475,0.754723517,-0.691030924,0.715280454,-0.405543192,0.183325656,-0.427306577,-0.199181025,0.976698981,-1.217089749,0.106888727,No
-1.737461339,1.234036208,0.004592791,-0.459776415,-1.285606254,-0.275910819,0.641423548,0.69183337,-0.558778841,0.254162609,-0.078021668,No
-1.874328109,-0.603743014,1.03229086,2.218856766,-0.069929407,-0.272129808,-0.731011771,0.659526824,-0.368198546,1.387018683,-0.022866703,No
-1.742449398,-1.008082483,0.264885531,-0.603599292,0.215576157,1.239852767,-1.901520875,-1.007228564,0.730675443,-1.375211092,-0.041539394,No
-1.654216578,-1.274495491,-0.493033979,0.904026027,0.898467796,-0.422000423,0.948087397,0.469212367,0.046235685,1.304905475,-0.02695832,Yes
-1.45391833,-0.778005145,1.295328659,-0.289073513,-0.354450093,1.556249288,-1.567301605,0.106228231,1.968994486,1.958386863,0.101476692,Yes
-1.791758123,0.261763023,-1.110001745,-0.05928403,2.154771079,-0.822181754,-0.141960956,-1.101014409,-1.633838816,0.034873617,-0.088211266,No
-1.862349011,-1.444764568,0.251439638,1.947779653,0.404189721,0.094439675,1.805297983,2.255258046,-0.175624324,0.060853918,-0.079446494,Yes
-0.905032431,-1.435529659,-0.023134961,-1.586841642,0.024451381,-0.246963862,0.1444727,1.385476047,-0.298344015,-0.739309806,0.124214126,Yes
-1.753664147,0.867680687,-3.404297199,0.014412215,-1.935135324,0.68034911,0.373922497,2.033641169,0.328861357,-0.347949697,-0.075633379,No
-0.663449773,0.927452113,-0.892814288,0.089900243,0.728793875,-0.658985587,-1.100930304,0.862304044,0.595832914,1.323719415,0.090901178,Yes
-0.773917957,-0.394625032,-1.911367959,-0.552622014,-1.072836253,0.229987043,0.424795105,1.194898715,-0.039136344,-0.888449964,0.086717573,No
-1.495537233,-0.737431439,1.424267757,-0.445459211,-0.183904365,-1.156773143,0.669143743,1.454967636,-0.771481305,1.089671937,-0.007121562,Yes
-1.740085366,-0.165899611,-0.92717247,1.346232759,0.401934356,-0.179201132,0.949795631,-1.574037031,-1.6246484,-0.796921327,-0.081371074,No
-0.974039806,3.241378406,0.938845823,-0.125802232,-0.054978165,0.884839323,1.235209588,-1.388779759,1.949658037,1.24995431,-0.018437438,Yes
-0.825669427,0.34252513,0.115415289,0.817456663,-0.640396491,1.8034362,1.988976429,-0.227565738,0.574869458,-1.240806817,-0.044422729,No
-1.458396679,0.193903381,0.186191919,-1.727715,0.653095405,0.127658189,-0.769163953,0.348951775,-1.547413075,0.706329668,-0.042639293,No
-1.011655503,-1.787820019,-0.158847814,0.581822382,1.54806003,0.724037459,1.743182204,1.951963941,-0.126983223,0.936886096,0.005237664,Yes
-1.255535907,0.031381005,0.442443168,-1.383543113,-0.427562206,0.037700867,-0.749749861,0.806681899,-0.678774346,-0.220272732,-0.043317739,No
-1.724449734,-2.128850639,2.070025671,0.444251067,0.170673499,-0.063549763,0.975303943,0.00533624,-0.912370497,0.54778447,-0.011528914,Yes
-0.946438019,0.57897184,0.379350313,-0.273136741,-0.372750213,0.348582417,-0.621879256,1.5516413,0.023883924,0.487577313,-0.052935241,No
-0.634938325,-1.211059099,0.204590964,-0.729114072,2.776167027,-1.124763243,0.931584434,-1.074965851,-1.585816867,0.192241627,-0.035668217,Yes
-1.577462067,-0.031671192,-1.621084046,-0.452255605,-0.097652534,0.272289669,0.635654922,-0.66613411,1.266582448,0.705554027,-0.037065735,Yes
-1.040643643,-0.572994788,1.346785313,-0.1018971,-1.084291803,-0.667692732,1.369758402,-1.361880126,0.302564124,0.771507568,0.12108632,Yes
-1.149859598,0.412309773,-0.488909263,-1.359574674,2.628905041,-0.939211966,-0.017214853,-0.632827954,-0.895372212,-0.186623959,-0.054299496,Yes
-0.9271086,-0.154015518,-1.516272348,-1.668389184,1.681751794,0.328410653,-1.010697125,-0.444362538,-0.748785555,1.121644336,0.073415139,Yes
-1.335608396,0.603531653,1.487127165,-0.655459773,-0.331120765,-0.711726799,0.24430767,-0.04046215,-0.504739772,-0.155920386,-0.053612398,Yes
-1.73071931,-1.121199517,1.852936035,0.618655381,0.869753199,1.592359741,0.132021973,1.11900281,-1.265363313,-0.723598204,-0.045472682,No
-1.559125793,-1.574754494,0.692783494,-0.593933519,0.416568743,0.555529363,-0.583157044,-2.290479042,-0.269814994,1.332794479,-0.080182239,Yes
-1.837898667,-0.868721812,-0.427477442,0.288842933,-0.114324405,-0.473978557,-0.636175011,0.787572316,-0.07060207,-0.392811285,-0.09357003,Yes
-1.077937955,1.543773698,-0.948269228,0.691625169,-1.028538382,-0.142876733,-0.681480638,0.785546601,-0.810387536,-0.491335573,-0.072800843,No
-1.236168346,-1.603387778,-0.002407161,-0.002747974,-0.571796863,-0.341552433,-0.761438444,-0.948973158,-0.052696041,-0.11602182,-0.029377848,Yes
-0.709759143,-1.571317846,-0.319376262,0.94601693,-0.812687419,0.976345854,-0.841084453,-0.059619607,0.499705524,1.011140836,-0.037202339,No
-1.417447356,1.927806387,0.926172912,-0.373621932,-0.289869886,0.035851265,-1.225099892,-0.057533386,1.071525683,-0.170962118,0.060264484,No
-1.030259888,-2.045055436,-0.45997735,-1.708286705,-1.254987577,0.480733809,0.975725507,-0.602057912,1.425463846,0.319053057,-0.043927862,No
-1.459887127,0.885963487,-0.631303108,1.430785889,0.023163268,0.767070732,0.72503965,-1.520424225,-0.242899645,0.334247632,0.097924145,Yes
-1.297014116,-0.910228539,0.002142682,-0.787196951,-1.008360613,-0.732060542,-1.072055483,-0.080203664,0.192578615,1.106101575,-0.006868873,Yes
-0.611684865,-0.152434956,2.589830608,-0.260141802,1.361170657,0.905050846,-0.804564447,1.291661662,-0.032981623,-0.549810548,0.050197074,No
-1.40141467,0.079104619,-0.70119603,-0.655061819,-1.478355783,-0.813749717,-0.142759807,0.288757733,2.005732268,1.576028539,0.007274696,Yes
-1.519343572,-0.598488054,-0.418133405,1.439088985,-0.709188372,0.604886085,-0.861669094,-0.80151786,0.105674063,-0.160299915,-0.042610066,No
-1.354817352,-0.162060948,0.732410953,0.38480579,0.744113821,1.474152245,0.63531364,0.039875885,0.227004155,1.689668077,-0.004580581,No
-1.416353399,-0.217518387,-0.314106911,-1.067242824,0.947445248,1.574262009,-1.627524155,0.354575566,0.357241136,0.942895151,-0.02584829,No
-1.438046939,1.380438458,-0.14816279,0.176069889,0.998602952,0.904394509,0.179651196,1.014414652,-1.256840705,-0.098504235,0.072077573,No
-1.530680141,0.548297804,-0.834894086,0.191129905,-1.784947776,-0.161059225,2.253589324,0.022121041,-0.161876754,-0.131976789,0.001673275,Yes
-1.268051435,-0.724951697,-0.089794371,0.287324409,0.415023455,-0.657260846,0.043274716,1.964688155,-0.385455254,-0.684033507,0.08218448,No
-1.649665864,0.545268706,-0.602485946,0.802934056,0.541594762,-0.528709641,-0.247528007,-0.759660531,-1.592425406,-0.063959294,0.110193971,No
-1.429496253,-0.578274915,0.771323651,-1.172797312,-0.861992406,0.810750351,-1.305798772,-0.714262851,2.608419927,1.694396036,-0.000390739,Yes
-1.481652538,1.404714097,-1.752121493,-0.347684442,-0.239652943,1.383073204,1.039954288,0.911980874,-2.060028419,-0.407428473,0.084556103,Yes
-1.713821041,1.127292206,0.594466636,-0.444129864,1.631691069,-0.047251009,0.162722917,-1.225410111,1.919979162,-0.783591302,-0.093443088,No
-1.357541564,-0.362074646,-0.851464046,2.155656896,-1.400952674,0.411340549,1.618351263,0.394882196,0.4028025,0.895110401,0.075624043,Yes
-1.168494606,1.275327349,-0.510791708,-0.522100482,-1.868676602,-0.490455233,1.941511164,0.943622981,0.445337441,0.903093824,-0.034603047,Yes
-1.518400999,1.259034869,-1.824124611,0.989047137,-1.331226773,0.514737776,-0.462784106,0.477538629,0.361241197,-0.492415488,-0.072730175,No
-1.467437723,0.477096111,-0.096057637,0.374150044,-0.9706156,-1.310252816,0.029335086,0.043991257,-0.375607686,0.221951918,-0.060452444,No
-1.554616215,1.084718427,-0.725255364,1.601914752,-2.375796852,0.63239255,3.219256732,-0.735666592,-0.183296433,0.270192358,-0.062843088,No
-1.365885337,-1.31536226,-1.368106706,0.701828832,-1.263863029,-0.527382447,0.323953092,-0.854503245,1.227876586,0.153154457,0.106893476,No
-0.871817565,-0.451854009,-1.734606683,-1.228323931,-0.588873973,1.084027264,1.431233416,-0.778689654,2.049639661,1.184654042,-0.030840238,Yes
-1.10502393,1.154117758,-0.956135888,-0.259049481,0.074899191,-1.208957092,-0.474366746,0.536578733,-0.940745356,1.269231899,0.085003215,Yes
-1.619407979,1.788972507,-0.434454291,-1.486816471,0.419825012,0.663594246,-0.309852682,0.501263572,0.105278266,0.414786029,-0.107584559,No
-1.799262837,-2.147909777,0.690044999,1.064955116,0.742387089,0.083127609,0.976575753,1.013420012,0.381295603,-0.483848465,-0.06419255,Yes
-1.654939488,0.608496362,-0.600480301,-0.436274956,1.891087427,-0.15109907,1.621186231,-1.449232589,-0.805781778,-0.004610603,-0.033941673,No
-1.458406473,0.462852171,0.128548378,-0.212768488,1.004405446,0.615099731,-1.33283428,-0.223141662,0.382294974,0.931173625,0.112174626,No
-1.666358458,1.00216584,1.834467179,0.033383764,1.035707052,1.035198006,0.579801652,-0.869303713,2.266209509,-2.298382517,-0.014392666,Yes
-1.592597946,-0.430202527,1.812805939,-1.583526798,0.332307955,0.933473748,0.969644144,-1.318606309,2.008306229,-1.47206254,-0.047368877,Yes
-1.705794833,-1.29990393,0.561735268,-0.364541888,-0.742501649,-0.073013627,1.148613602,-1.088286856,-0.641160136,-0.663420156,-0.032581631,Yes
-1.065961323,-0.094919569,-0.498487279,0.2357975,-0.437959783,0.321425079,-2.109780181,-0.204280055,0.034378107,-0.462455061,0.070670939,No
-1.09471548,-1.283234282,1.107788935,-1.502304181,0.835179684,-0.163107636,1.386606355,-0.332154722,-0.833994829,0.978745616,-0.040722616,Yes
-1.503436126,0.419225608,2.144648491,-0.935948414,-0.46064628,1.714963715,-0.605785553,-1.00700531,-0.619630518,-0.109505534,-0.033427801,Yes
-1.43071145,0.366404186,0.125595973,-1.007070932,-0.983540095,0.99313117,-0.820236401,0.570532593,0.028480203,0.506044872,0.068600749,Yes
-1.026171905,-0.290338797,-0.89847497,-0.256891064,1.272094338,-1.766390295,0.668054662,0.84552585,0.859457502,0.263503994,-0.062368398,No
-1.595139933,0.134376645,0.77103379,0.430437857,-0.163622466,-0.566007945,-0.06105192,0.654951293,-0.828706849,-0.124220627,-0.016076584,No
-1.486760978,0.274277854,0.53018866,-1.339994954,0.716764113,0.62751324,-0.716450094,-0.419545117,0.074531245,1.046217807,0.088389654,Yes
-0.738607544,-0.682352737,0.228934186,-1.138436011,-0.961552882,1.113204929,0.007852115,-0.577753465,1.527027452,0.379133227,-0.029608387,No
-1.0448108,-0.979797289,-0.280833753,-0.395185507,0.690052747,-0.350284934,-0.224612194,0.147149894,0.640606022,1.79700909,-0.064565337,No
-1.468515711,-1.784165848,-1.105726648,1.528271623,2.883743115,-0.244635543,1.235102755,0.377631322,0.181185567,1.286277358,-0.027881825,Yes
-1.551540382,-1.47609894,0.375417931,2.119642735,2.420003905,1.148786589,-0.073970937,3.388908484,1.263837563,2.577174278,-0.032053308,No
