YMD,Product1,Product2,Time,Prod1Fitted,ForecastProd1
20190106,2408555,12372749,1,2406143.328,1903134.747
20190113,2215418,12374756.3,2,2213196.346,2139840.458
20190120,2167294,13203648.2,3,2165117.352,1879902.458
20190127,2173777,12319799.4,4,2171590.75,1921753.458
20190203,2312097,12948943.7,5,2309769.311,1982881.458
20190210,2683980,13675593.3,6,2681277.31,2366126.458
20190217,2104138,13000021.9,7,2102012.033,2489743.458
20190224,2167522,12845307.2,8,2165329.53,2073319.458
20190303,2166030,13276100.4,9,2163835.903,1827529.458
20190310,2322196,14328218,10,2319842.618,1847078.458
20190317,2305257,13249994.2,11,2302917.439,1944646.458
20190324,2756588,12796389.7,12,2753793.989,2091760.458
20190331,2106089,13148005.3,13,2103942.369,1955794.458
20190407,2237618,14014492.8,14,2235336.721,1977210.458
20190414,2348591,14142614.5,15,2346195.63,2189601.458
20190421,2417455,14083436.3,16,2414987.647,1809948.458
20190428,2577416,13481757,17,2574785.567,1719217.558
20190505,2297571,14276340.9,18,2295217.293,1799704.458
20190512,2448635,14777662.6,19,2446127.111,1904846.558
20190519,2444579,14443062.2,20,2442072.048,2277959.458
20190526,2788125,13895592.4,21,2785271.383,1744325.458
20190602,2497743,14566013.5,22,2495176.646,1814046.658
20190609,2933595,15832089.2,23,2930589.676,1833704.458
20190616,2744821,15886483.5,24,2742001.331,1881782.658
20190623,2874392,14843472.9,25,2871439.641,1805956.558
20190630,2802894,15298803.2,26,2800010.021,1903134.747
20190707,2617790,15036754.3,27,2615088.006,2139840.458
20190714,2219878,13725744.6,28,2217570.799,1879902.458
20190721,2231670,13914749.8,29,2229347.888,1921753.458
20190728,2528017,14262570.7,30,2525395.422,1982881.458
20190804,2195176,14638895.2,31,2192884.144,2366126.458
20190811,2378160,15207538,32,2375682.042,2489743.458
20190818,2373156,14352010.2,33,2370679.927,2073319.458
20190825,2711972,13677915.4,34,2709153.992,1827529.458
20190901,2205116,14631803.2,35,2202801.729,1847078.458
20190908,2281552,14975104.2,36,2279158.175,1944646.458
20190915,2335506,14242331,37,2333055.102,2091760.458
20190922,2849308,13345894.2,38,2846340.181,1955794.458
20190929,2057032,13779186.1,39,2054853.338,1977210.458
20191006,2129059,14461866.6,40,2126805.192,2189601.458
20191013,2201593,14494537.7,41,2199263.54,1809948.458
20191020,2267255,14277696.8,42,2264856.759,1719217.558
20191027,2429210,12757948,43,2426646.685,1799704.458
20191103,2045455,13212159.3,44,2043272.321,1904846.558
20191110,2097655,13858542,45,2095417.003,2277959.458
20191117,2147922,13241609,46,2145630.617,1744325.458
20191124,2458697,12891774.8,47,2456091.723,1814046.658
20191201,1968737,12851282.3,48,1966618.564,1833704.458
20191208,2085037,13893133.2,49,2082799.146,1881782.658
20191215,2071919,13190283.8,50,2069691.145,1805956.558
20191222,2555088,12384639.2,51,2552373.857,1903134.747
20191229,1967066,11727500.5,52,1964936.76,2139840.458
20200105,2209195,12215056.7,53,2244944.737,1879902.458
20200112,1857720,12407255.3,54,2042832.7,1921753.458
20200119,1917617,12474868.4,55,1952293.829,1982881.458
20200126,2203282,11825863.2,56,2001683.595,2366126.458
20200202,1825344,12815227.5,57,2207617.231,2489743.458
20200209,1943601,13147532.3,58,2412397.699,2073319.458
20200216,2040300,12727589.5,59,1807792.52,1827529.458
20200223,2448399,11752805.5,60,2071890.269,1847078.458
20200301,1847309,12736168.6,61,2111611.533,1944646.458
20200308,1970381,13897135.4,62,2084376.879,2091760.458
20200315,2100370,13243818.5,63,2110455.754,1955794.458
20200322,2923950,14401649,64,2591525.908,1977210.458
20200329,1942729,12587118.5,65,2039053.478,2189601.458
20200405,1792980,12135158,66,2047874.322,1809948.458
20200412,2006793,12451942.5,67,2113464.516,1719217.558
20200419,2040103,12813326,68,2224749.992,1799704.458
20200426,2404684,12626842.5,69,2362394.354,1904846.558
20200503,2163629,13685437.5,70,2147498.786,2277959.458
20200510,2223112,14977318,71,2291075.937,1744325.458
20200517,2219193,13796775.5,72,2262952.13,1814046.658
20200524,2613465,14352948.5,73,2613425.563,1833704.458
20200607,2282345,15231437,74,2335578.745,1881782.658
20200614,2801913,15276485.5,75,2756183.921,1805956.558
20200621,2269025,14718517,76,2595733.154,1903134.747
20200628,2190131,14621724.5,77,2618712.345,2139840.458
20200630,2150698,14433694.3,78,2518058.163,1879902.458
20200705,2274159,15599861,79,2350475.71,1921753.458
20200712,2577985,14866314.5,80,2035860.56,1982881.458
20200719,2090887,14235867,81,2224650.871,2366126.458
20200726,2127582,14441113,82,2327558.14,2489743.458
20200802,2255676,14837822.8,83,1975767.14,2073319.458
20200809,2289936,15379577.3,84,2296094.58,1827529.458
20200816,2326463,14817046.2,85,2209217.868,1847078.458
20200823,2634595,14076322.5,86,2583352.101,1944646.458
20200906,2095796,15448493.1,87,2057606.214,2091760.458
20200913,2289671,14420125.6,88,2130306.403,1955794.458
20200920,2540523,13691337.4,89,2218940.723,1977210.458
20200927,2054276,14159102,90,2779169.542,2189601.458
20200930,2107841,14661944.7,91,1687391.394,1809948.458
20201004,1990379,14290549.4,92,2087216.444,1719217.558
20201011,2067769,13897135.2,93,2011702.511,1799704.458
20201018,2090085,13591784.3,94,2121125.729,1904846.558
20201025,2274366,12947517.4,95,2258150.579,2277959.458
20201101,2050561,12863194.8,96,1887920.324,1744325.458
20201108,1941696,13347451.8,97,1982027.339,1814046.658
20201115,2014919,13526939.8,98,1974203.6,1833704.458
20201122,2338296,13065688.5,99,2308174.236,1881782.658
20201206,2298017,12890418,100,1815182.329,1805956.558
20201213,2941173,12896586.5,101,2061049.096,1903134.747
20201220,2512006,12506292.5,102,2161635.566,2139840.458
20201227,2357601,11997277,103,2493188.734,1879902.458
20201229,1920731,12102745,104,1766085.149,1921753.458
20210103,1731056,12205200,105,2091279.214,1982881.458
20210110,1821141,12544996.5,106,1592448.31,2366126.458
20210117,2030890,12287101.5,107,1820893.474,2489743.458
20210124,2316383,11783497,108,2101207.618,2073319.458
20210207,2095297,12796921.5,109,1724751.811,1827529.458
20210214,2143536,12401496.5,110,1887475.764,1847078.458
20210221,2388093,11518704,111,1951409.086,1944646.458
20210228,1671139,12101075.5,112,2411202.715,2091760.458
20210228,1860209,11746681.5,113,1473326.68,1955794.458
20210304,1836008,13613187.5,114,1918931.463,1977210.458
20210307,1790539,13069243.5,115,1914461.703,2189601.458
20210314,1969638,12490929.5,116,2726307.69,1809948.458
20210321,2396427,11946910,117,1563994.038,1719217.558
20210328,1810606,13014121.5,118,1869047.383,1799704.458
20210402,1985323,12946595,119,1827891.492,1904846.558
20210411,1952488,14066473,120,1922984.472,2277959.458
20210418,2142586,13030770.5,121,2250952.39,1744325.458
20210425,2189597,13129446.5,122,1970438.918,1814046.658
20210509,2215747,13973999.5,123,2123659.662,1833704.458
20210516,2131680,12760045,124,2083372.922,1881782.658
20210523,2302016,13010288.5,125,2465114.98,1805956.558
20210530,2042078,14297376,126,2073490.411,1903134.747
20210604,2083929,14968356.5,127,2630747.203,2139840.458
20210606,2145057,14152306.5,128,1950349.687,1879902.458
20210613,2528302,13666197,129,2083680.834,1921753.458
20210620,2651919,12916243.5,130,2115773.363,1982881.458
20210627,2235495,13809226,131,2265428.734,2366126.458
20210701,1989705,13544336.5,132,2407242.402,2489743.458
20210711,2009254,13670213.5,133,1809211.947,2073319.458
20210718,2106822,13106176,134,2022658.641,1827529.458
20210725,2253936,13259540.5,135,2117588.074,1847078.458
20210808,2117970,14386170,136,2166783.335,1944646.458
20210815,2139386,13125137,137,2150317.046,2091760.458
20210822,2351777,13119364.5,138,2469290.985,1955794.458
20210829,1972124,13261239,139,1899987.87,1977210.458
20210903,1881393.1,13409441.5,140,2148140.872,2189601.458
20210905,1961880,14242586.6,141,2302004.05,1809948.458
20210912,2067022.1,13310505.5,142,1794756.706,1719217.558
20210919,2440135,12506086.5,143,2023588.014,1799704.458
20210926,1906501,12893934.5,144,1947419.512,1904846.558
20211010,1976222.2,13465766.5,145,1893882.55,2277959.458
20211017,1995880,12669320.5,146,1951475.127,1744325.458
20211024,2043958.2,11957418,147,2124899.166,1814046.658
20211031,1968132.1,12428894.5,148,1865220.095,1833704.458
20211107,2259683,12579716.5,149,1808973.95,1881782.658
20211114,1961990,12141416,150,1981736.719,1805956.558
20211121,2106292,11846433.5,151,2170468.933,1903134.747
20211128,1607038,11197036.5,152,2117473.973,2139840.458
20211202,1657209,11121406.5,153,2632910.308,1879902.458
20211205,1785639,12809884.1,154,2070584.028,1921753.458
20211212,1767723,11723609.5,155,2113873.982,1982881.458
20211219,2104243,11471570.5,156,1659486.793,2366126.458
20211226,1630316,11269246,157,1696170.011,2489743.458
20220109,1968826,11206529.5,158,1640117.992,2073319.458
20220116,1842275,10552011,159,1962790.932,1827529.458
20220123,1572706,10222096,160,2119715.71,1847078.458
20220130,1579806,10378489,161,1776566.878,1944646.458
20220206,1642545,11179032,162,1925047.351,2091760.458
20220213,1722727,11224078.5,163,2145065.078,1955794.458
20220220,2273485,10964586.5,164,1388089.99,1977210.458
20220227,1752093,10968054,165,1951434.16,2189601.458
20220303,1711662,12210002,166,1616780.872,1809948.458
20220306,2211879,12226142.6,167,1655518.507,1719217.558
20220313,1749475,11209963.5,168,1966693.24,1799704.458
20220320,2051238,10810327,169,2172083.439,1904846.558
20220327,1637610,11433867,170,1613844.405,2277959.458
20220401,1710449,11498573,171,1829949.189,1744325.458
20220410,1750463,12136365,172,1756111.417,1814046.658
20220417,1780374,11433778.5,173,1978793.877,1833704.458
20220424,1889885,10819595,174,1970633.544,1881782.658
20220508,1798562,12266624.5,175,2030461.166,1805956.558
